valid;pid;ppn;costs;isbdcount;matchcount;matchrate;avgcosts;goodorder4
1;480;193737663;1.3459754;46;53;1.1521739130434783;1.7825001110146619;0.7433119516838407
0;480;251752356;;57;47;0.8245614035087719;2.2867570785803077;0.5983867364530915
1;481;193738627;1.84928763;55;58;1.0545454545454545;2.433780721091783;0.6349892702644632
0;481;229551823;;24;17;0.7083333333333334;2.3992277828621043;0.5851853584663265
1;483;193747987;1.25278771;60;47;0.7833333333333333;1.9932581107889313;0.782887748117013
0;483;145074560;;47;27;0.574468085106383;2.580533949488781;0.5604716856611467
1;485;193745488;1.47029412;55;58;1.0545454545454545;2.0739599994336326;0.7331015301183355
0;485;244249253;;20;12;0.6;2.3094485190434657;0.5372938511379783
1;488;193952033;1.20809138;30;41;1.3666666666666667;1.2917486175304884;0.8817498010345222
0;488;180658352;;61;43;0.7049180327868853;2.3459637082443288;0.6829071846193754
1;489;193955059;1.11705244;31;30;0.967741935483871;1.783064870282584;0.7716532343058902
0;489;142359106;;73;23;0.3150684931506849;2.300289433471882;0.5334593059144972
1;490;193958449;1.53113842;23;24;1.0434782608695652;2.3408766214275816;0.6054051186729117
0;490;146141806;;17;16;0.9411764705882353;2.7602467612986943;0.5666844636578889
1;491;193988585;1.59299481;116;114;0.9827586206896551;2.555859290725058;0.6522549088494272
0;491;245471987;;41;36;0.8780487804878049;2.974995075772816;0.5493794700037503
1;492;194021408;1.12045324;73;82;1.1232876712328768;2.64671955358335;0.6250144202758484
0;492;230779336;;52;46;0.8846153846153846;2.799539176218884;0.5510239169234371
1;494;194045757;1.76425147;68;52;0.7647058823529411;2.356509860298206;0.6820224568988035
0;494;216777704;;7;9;1.2857142857142858;2.8084830843670954;0.7177074293471627
1;497;194080153;0.676292956;36;45;1.25;1.8252696318494535;0.8096276845772804
0;497;140352287;;33;21;0.6363636363636364;2.46805414811948;0.6626336848612676
1;498;194091465;0.863062382;38;50;1.3157894736842106;2.6241585837981654;0.6418848374846334
0;498;213516888;;51;48;0.9411764705882353;2.7930808235789306;0.5110596506863125
1;500;194092178;1.01238883;50;57;1.14;1.7225690402051017;0.8094454459232971
0;500;135894654;;22;23;1.0454545454545454;1.9407940215977635;0.5737646820304887
1;501;194093883;1.47519958;100;86;0.86;2.223397097394861;0.748037115433969
0;501;145728390;;51;29;0.5686274509803921;2.292197446988684;0.6012296815126483
1;502;19410348X;1.51776886;58;50;0.8620689655172413;2.5491404277407947;0.6579096224433315
0;502;157176207;;48;45;0.9375;2.8719283782543124;0.5394835228871778
1;503;194109682;0.891314983;29;27;0.9310344827586207;1.857699025879875;0.7463445085010431
0;503;309946778;;71;53;0.7464788732394366;2.536292805646611;0.6608524945324618
1;507;19411225X;0.761867881;40;29;0.725;1.58848712200236;0.8134293837288276
0;507;231994575;;23;5;0.21739130434782608;1.0795234343206646;0.8115398112275398
1;509;194200566;1.06562614;23;35;1.5217391304347827;1.7403000753237765;0.8016362787092983
0;509;223353515;;30;18;0.6;2.6324988173129373;0.5288295391050006
1;511;194206246;1.42821121;37;49;1.3243243243243243;2.0591609931306296;0.7433120913066263
0;511;235380881;;37;26;0.7027027027027027;2.8420057808029258;0.49156208779455146
1;513;194282333;1.04347432;83;58;0.6987951807228916;2.528957266194281;0.6145173912799944
0;513;193478668;;29;20;0.6896551724137931;2.981368555098789;0.5336086660413916
1;516;151719772;1.14733672;94;145;1.5425531914893618;1.694757665635757;0.8228252740310785
0;516;193959003;;43;41;0.9534883720930233;2.7879221737431226;0.5476666500025952
1;517;194288048;1.83827186;121;90;0.743801652892562;1.792898918911633;0.8207972364699871
0;517;18939272X;;80;37;0.4625;2.8312201639169436;0.5116915699360389
1;518;194288048;0.562969744;121;76;0.628099173553719;1.272675468174845;0.8304151834450518
0;518;152651292;;76;44;0.5789473684210527;1.9586982636053059;0.6127485010408632
1;520;194290573;1.02781034;27;36;1.3333333333333333;1.134648829892388;0.9227698739388378
0;520;142387045;;34;7;0.20588235294117646;2.574557674660401;0.46665520965751534
1;521;194324184;1.05219841;35;52;1.4857142857142858;1.5031606071853767;0.8760949546037986
0;521;248360493;;18;14;0.7777777777777778;2.74385991696318;0.6186850920152774
1;530;194458741;1.46897399;32;52;1.625;2.616261799878318;0.662865484402851
0;530;233762922;;19;27;1.4210526315789473;2.6981453534936297;0.5540036010318692
1;532;155901230;1.45623958;102;96;0.9411764705882353;2.784681954793076;0.599130694129285
0;532;22307568X;;29;32;1.103448275862069;2.6676508600245725;0.5995947602325804
1;535;194473902;1.98148048;21;27;1.2857142857142858;1.9809197727936387;0.776068180263406
0;535;147081696;;27;18;0.6666666666666666;2.7454105997897114;0.5806039960802737
1;536;194474887;1.68974364;36;37;1.0277777777777777;2.622162651994801;0.6484220030583225
0;536;189758279;;58;24;0.41379310344827586;2.9013708663617526;0.3888979951737207
1;537;194478068;0.995696425;62;62;1.0;2.5185532685057104;0.5995172308794228
0;537;226520218;;21;18;0.8571428571428571;2.9581138209525464;0.5626847072106432
1;544;194490106;0.697813094;39;41;1.0512820512820513;2.1335302052945657;0.7567287647688333
0;544;143940260;;28;22;0.7857142857142857;2.3702325642354753;0.5949417456892255
1;548;194495221;1.66498053;31;29;0.9354838709677419;2.6475454973955332;0.617778841322079
0;548;243434316;;46;36;0.782608695652174;2.737044104032188;0.5872179825265587
1;551;194511081;1.08044422;67;54;0.8059701492537313;2.5232082513555363;0.5868172202721006
0;551;143657100;;18;12;0.6666666666666666;2.863863903196506;0.4482635714366163
1;556;194525058;1.99904263;25;33;1.32;2.3144902185752843;0.6586288721575717
0;556;147646529;;38;31;0.8157894736842105;2.549325647472287;0.6570309384152829
1;557;194527484;1.52196765;47;44;0.9361702127659575;2.3055355478208672;0.6566423742126918
0;557;150830564;;47;36;0.7659574468085106;2.7346512767197813;0.5870433461188996
1;558;194530752;0.472818255;75;73;0.9733333333333334;2.174167168911512;0.7166941253221414
0;558;150823665;;153;87;0.5686274509803921;2.6841782336824074;0.5840415060113685
1;562;19453927X;1.14384985;21;34;1.619047619047619;1.9185468194238724;0.8609821744985866
0;562;150033788;;27;12;0.4444444444444444;3.0983914132682755;0.43059451718239317
1;563;194542602;1.91938078;51;56;1.0980392156862746;2.5868295048403516;0.6717614519294262
0;563;113548176;;45;28;0.6222222222222222;2.7597856665405023;0.5306344013436388
1;568;194551725;1.10826862;28;41;1.4642857142857142;2.3354736840864403;0.5902938650668481
0;568;333940474;;24;18;0.75;2.4662881262324508;0.6156165249204067
1;571;194558150;1.81956661;24;34;1.4166666666666667;2.404445740214559;0.7160307170534618
0;571;323295053;;19;12;0.631578947368421;2.8586638816458496;0.6907514374726995
1;581;151317615;0.688926637;19;12;0.631578947368421;1.720555131845759;0.8432078078413434
0;581;13914014X;;79;36;0.45569620253164556;2.848314064204807;0.5392480925468651
1;598;194571262;0.787131965;24;9;0.375;1.7628655539744758;0.5753731328477029
0;598;144567431;;29;10;0.3448275862068966;3.098378052571316;0.45791722781805105
1;605;128752904;0.942448497;48;24;0.5;3.1244065910559335;0.544906557716056
0;605;138782563;;41;21;0.5121951219512195;3.156127929031663;0.4925022152944597
1;608;194574997;1.85342908;50;28;0.56;2.6466692147421997;0.6470291156703399
0;608;147553342;;31;18;0.5806451612903226;2.7933424470350223;0.4318981576373509
1;609;146983556;1.18862712;22;18;0.8181818181818182;2.6922897799309493;0.5094873827879309
0;609;145043320;;77;36;0.4675324675324675;3.1195277451549535;0.4856982932155348
1;610;128897775;1.68180597;22;25;1.1363636363636365;2.2511385220779645;0.6598625312508751
0;610;310065771;;13;7;0.5384615384615384;2.893828086715403;0.4275681840493785
